# p si sj distance Re(initial) Im(initial) max_signed_residual
0 0 0 1 1.8000960538324013 0 1.7763568394002505e-15
1 0 0 2 -0.94786251378381725 0 1.1768364061026659e-14
2 0 0 3 1.6870902357680515 0 1.1546319456101628e-14
3 0 0 4 -0.9961951241992768 0 2.708944180085382e-14
4 0 0 5 1.6603161374283415 0 8.4376949871511897e-15
5 0 0 6 -1.0131690445324755 0 2.3536728122053319e-14
6 0 0 7 1.6486201500690558 0 1.4432899320127035e-14
7 0 0 8 -1.0216973080638421 0 3.8413716652030416e-14
8 0 0 9 1.642142599208384 0 2.5313084961453569e-14
9 0 0 10 -1.0267706879553775 0 1.1546319456101628e-14
10 0 0 11 1.6380732927257673 0 2.4868995751603507e-14
11 0 0 12 -1.0300967157870717 0 4.6629367034256575e-15
12 0 0 13 1.635313339316895 0 1.5987211554602254e-14
13 0 0 14 -1.0324151584707699 0 2.3314683517128287e-14
14 0 0 15 1.6333463424068331 0 3.1752378504279477e-14
15 0 0 16 -1.034097393578937 0 1.3100631690576847e-14
16 0 0 17 1.6318984926494637 0 2.4424906541753444e-15
17 0 0 18 -1.0353495735950455 0 2.2204460492503131e-16
18 0 0 19 1.6308117896859073 0 1.0436096431476471e-14
19 0 0 20 -1.0362946397952921 0 2.6645352591003757e-15
20 0 0 21 1.6299893391848606 0 6.2172489379008766e-15
21 0 0 22 -1.037009779454654 0 1.2434497875801753e-14
22 0 0 23 1.6293691153896306 0 4.2188474935755949e-15
23 0 0 24 -1.0375451700780491 0 6.4392935428259079e-15
24 0 0 25 1.6289103395114022 0 1.1102230246251565e-15
25 0 0 26 -1.0379340243177904 0 3.9968028886505635e-15
26 0 0 27 1.6285859810926977 0 2.6645352591003757e-15
27 0 0 28 -1.0381982423885006 0 5.9952043329758453e-15
28 0 0 29 1.6283784682870417 0 4.8849813083506888e-15
29 0 0 30 -1.038351677654815 0 2.6645352591003757e-15
30 0 0 31 1.6282772069022664 0 3.5527136788005009e-15
31 0 0 32 -1.0384020033392256 0 0
32 0 1 0 0 0 0
33 0 1 1 0.11785113019775792 0 0
34 0 1 2 0.11785113019775792 0 0
35 0 1 3 0.11785113019775792 0 0
36 0 1 4 0.11785113019775792 0 0
37 0 1 5 0.11785113019775792 0 0
38 0 1 6 0.11785113019775792 0 0
39 0 1 7 0.11785113019775792 0 0
40 0 1 8 0.11785113019775792 0 0
41 0 1 9 0.11785113019775792 0 0
42 0 1 10 0.11785113019775792 0 0
43 0 1 11 0.11785113019775792 0 0
44 0 1 12 0.11785113019775792 0 0
45 0 1 13 0.11785113019775792 0 0
46 0 1 14 0.11785113019775792 0 0
47 0 1 15 0.11785113019775792 0 0
48 0 1 16 0.11785113019775792 0 0
49 0 1 17 0.11785113019775792 0 0
50 0 1 18 0.11785113019775792 0 0
51 0 1 19 0.11785113019775792 0 0
52 0 1 20 0.11785113019775792 0 0
53 0 1 21 0.11785113019775792 0 0
54 0 1 22 0.11785113019775792 0 0
55 0 1 23 0.11785113019775792 0 0
56 0 1 24 0.11785113019775792 0 0
57 0 1 25 0.11785113019775792 0 0
58 0 1 26 0.11785113019775792 0 0
59 0 1 27 0.11785113019775792 0 0
60 0 1 28 0.11785113019775792 0 0
61 0 1 29 0.11785113019775792 0 0
62 0 1 30 0.11785113019775792 0 0
63 0 1 31 0.11785113019775792 0 0
64 0 1 32 0.11785113019775792 0 0
65 1 1 1 0.71548220313557553 0 0
66 1 1 2 0.71548220313557553 0 0
67 1 1 3 0.71548220313557553 0 0
68 1 1 4 0.71548220313557553 0 0
69 1 1 5 0.71548220313557553 0 0
70 1 1 6 0.71548220313557553 0 0
71 1 1 7 0.71548220313557553 0 0
72 1 1 8 0.71548220313557553 0 0
73 1 1 9 0.71548220313557553 0 0
74 1 1 10 0.71548220313557553 0 0
75 1 1 11 0.71548220313557553 0 0
76 1 1 12 0.71548220313557553 0 0
77 1 1 13 0.71548220313557553 0 0
78 1 1 14 0.71548220313557553 0 0
79 1 1 15 0.71548220313557553 0 0
80 1 1 16 0.71548220313557553 0 0
81 1 1 17 0.71548220313557553 0 0
82 1 1 18 0.71548220313557553 0 0
83 1 1 19 0.71548220313557553 0 0
84 1 1 20 0.71548220313557553 0 0
85 1 1 21 0.71548220313557553 0 0
86 1 1 22 0.71548220313557553 0 0
87 1 1 23 0.71548220313557553 0 0
88 1 1 24 0.71548220313557553 0 0
89 1 1 25 0.71548220313557553 0 0
90 1 1 26 0.71548220313557553 0 0
91 1 1 27 0.71548220313557553 0 0
92 1 1 28 0.71548220313557553 0 0
93 1 1 29 0.71548220313557553 0 0
94 1 1 30 0.71548220313557553 0 0
95 1 1 31 0.71548220313557553 0 0
96 1 1 32 0.71548220313557553 0 0
