00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Tue Aug 11 23:38:34 2026
00001  0.00000 0.18112 0.08859 0        12286756  12289244: Tue Aug 11 23:38:34 2026
00002  0.00000 0.33514 0.19938 0        4103375   4105009 : Tue Aug 11 23:38:35 2026
00003  0.00000 0.47501 0.30965 0        4104627   4103757 : Tue Aug 11 23:38:35 2026
00004  0.00000 0.59209 0.38039 0        4106111   4102273 : Tue Aug 11 23:38:36 2026
00005  0.00000 0.68333 0.43899 0        4103937   4104447 : Tue Aug 11 23:38:36 2026
00006  0.00000 0.75045 0.48645 0        4103475   4104909 : Tue Aug 11 23:38:37 2026
00007  0.00000 0.79940 0.52499 0        4103033   4105351 : Tue Aug 11 23:38:38 2026
00008  0.00000 0.83656 0.55491 0        4104786   4103598 : Tue Aug 11 23:38:38 2026
00009  0.00000 0.86478 0.57879 0        4104922   4103462 : Tue Aug 11 23:38:39 2026
00010  0.00000 0.88609 0.59761 0        4105429   4102955 : Tue Aug 11 23:38:40 2026
00011  0.00000 0.90240 0.61243 0        4105164   4103220 : Tue Aug 11 23:38:41 2026
00012  0.00000 0.91492 0.62415 0        4104745   4103639 : Tue Aug 11 23:38:41 2026
00013  0.00000 0.92447 0.63342 0        4102806   4105578 : Tue Aug 11 23:38:42 2026
00014  0.00000 0.93194 0.64023 0        4102923   4105461 : Tue Aug 11 23:38:43 2026
00015  0.00000 0.93767 0.64622 0        4107440   4100944 : Tue Aug 11 23:38:44 2026
00016  0.00000 0.94191 0.65064 0        4101735   4106649 : Tue Aug 11 23:38:44 2026
00017  0.00000 0.94556 0.65440 0        4100963   4107421 : Tue Aug 11 23:38:45 2026
00018  0.00000 0.94815 0.65734 0        4103642   4104742 : Tue Aug 11 23:38:46 2026
00019  0.00000 0.94992 0.65923 0        4104434   4103950 : Tue Aug 11 23:38:47 2026
00020  0.00000 0.95190 0.66105 0        4105347   4103037 : Tue Aug 11 23:38:47 2026
00021  0.00000 0.95303 0.66278 0        4103900   4104484 : Tue Aug 11 23:38:48 2026
00022  0.00000 0.95419 0.66352 0        4104714   4103670 : Tue Aug 11 23:38:49 2026
00023  0.00000 0.95504 0.66443 0        4105965   4102419 : Tue Aug 11 23:38:50 2026
00024  0.00000 0.95546 0.66545 0        4103241   4105143 : Tue Aug 11 23:38:51 2026
00025  0.00000 0.95605 0.66584 0        4104049   4104335 : Tue Aug 11 23:38:51 2026
00026  0.00000 0.95643 0.66611 0        4104791   4103593 : Tue Aug 11 23:38:52 2026
00027  0.00000 0.95668 0.66607 0        4102557   4105827 : Tue Aug 11 23:38:53 2026
00028  0.00000 0.95716 0.66689 0        4104522   4103862 : Tue Aug 11 23:38:54 2026
00029  0.00000 0.95716 0.66678 0        4105597   4102787 : Tue Aug 11 23:38:55 2026
00030  0.00000 0.95729 0.66703 0        4105225   4103159 : Tue Aug 11 23:38:55 2026
00031  0.00000 0.95760 0.66750 0        4103926   4104458 : Tue Aug 11 23:38:56 2026
00032  0.00000 0.95771 0.66684 0        4103682   4104702 : Tue Aug 11 23:38:57 2026
00033  0.00000 0.95740 0.66719 0        4104292   4104092 : Tue Aug 11 23:38:58 2026
00034  0.00000 0.95770 0.66758 0        4106481   4101903 : Tue Aug 11 23:38:59 2026
00035  0.00000 0.95788 0.66740 0        4102018   4106366 : Tue Aug 11 23:38:59 2026
00036  0.00000 0.95776 0.66796 0        4105559   4102825 : Tue Aug 11 23:39:00 2026
00037  0.00000 0.95806 0.66782 0        4103131   4105253 : Tue Aug 11 23:39:01 2026
00038  0.00000 0.95784 0.66779 0        4105515   4102869 : Tue Aug 11 23:39:02 2026
00039  0.00000 0.95790 0.66773 0        4105018   4103366 : Tue Aug 11 23:39:03 2026
00040  0.00000 0.95808 0.66813 0        4104800   4103584 : Tue Aug 11 23:39:03 2026
00041  0.00000 0.95811 0.66734 0        4105258   4103126 : Tue Aug 11 23:39:04 2026
00042  0.00000 0.95799 0.66822 0        4104961   4103423 : Tue Aug 11 23:39:05 2026
00043  0.00000 0.95797 0.66788 0        4105053   4103331 : Tue Aug 11 23:39:06 2026
00044  0.00000 0.95795 0.66795 0        4104048   4104336 : Tue Aug 11 23:39:06 2026
00045  0.00000 0.95823 0.66765 0        4104868   4103516 : Tue Aug 11 23:39:07 2026
00046  0.00000 0.95776 0.66789 0        4104431   4103953 : Tue Aug 11 23:39:08 2026
00047  0.00000 0.95801 0.66828 0        4104939   4103445 : Tue Aug 11 23:39:09 2026
00048  0.00000 0.95809 0.66777 0        4104426   4103958 : Tue Aug 11 23:39:10 2026
00049  0.00000 0.95795 0.66765 0        4103266   4105118 : Tue Aug 11 23:39:10 2026
00050  0.00000 0.95792 0.66849 0        4102919   4105465 : Tue Aug 11 23:39:11 2026
00051  0.00000 0.95814 0.66760 0        4103026   4105358 : Tue Aug 11 23:39:12 2026
00052  0.00000 0.95788 0.66803 0        4102630   4105754 : Tue Aug 11 23:39:13 2026
00053  0.00000 0.95823 0.66812 0        4105703   4102681 : Tue Aug 11 23:39:14 2026
00054  0.00000 0.95807 0.66739 0        4105592   4102792 : Tue Aug 11 23:39:14 2026
00055  0.00000 0.95799 0.66832 0        4103260   4105124 : Tue Aug 11 23:39:15 2026
00056  0.00000 0.95828 0.66775 0        4103504   4104880 : Tue Aug 11 23:39:16 2026
00057  0.00000 0.95808 0.66798 0        4103144   4105240 : Tue Aug 11 23:39:17 2026
00058  0.00000 0.95806 0.66795 0        4105913   4102471 : Tue Aug 11 23:39:18 2026
00059  0.00000 0.95804 0.66777 0        4101567   4106817 : Tue Aug 11 23:39:18 2026
00060  0.00000 0.95793 0.66804 0        4102651   4105733 : Tue Aug 11 23:39:19 2026
00061  0.00000 0.95794 0.66746 0        4105831   4102553 : Tue Aug 11 23:39:20 2026
00062  0.00000 0.95782 0.66807 0        4104259   4104125 : Tue Aug 11 23:39:21 2026
00063  0.00000 0.95804 0.66773 0        4103205   4105179 : Tue Aug 11 23:39:22 2026
00064  0.00000 0.95815 0.66798 0        4103874   4104510 : Tue Aug 11 23:39:22 2026
00065  0.00000 0.95807 0.66749 0        4104420   4103964 : Tue Aug 11 23:39:23 2026
00066  0.00000 0.95791 0.66742 0        4106307   4102077 : Tue Aug 11 23:39:24 2026
00067  0.00000 0.95820 0.66775 0        4106027   4102357 : Tue Aug 11 23:39:25 2026
00068  0.00000 0.95801 0.66763 0        4104465   4103919 : Tue Aug 11 23:39:26 2026
00069  0.00000 0.95809 0.66767 0        4105269   4103115 : Tue Aug 11 23:39:26 2026
00070  0.00000 0.95822 0.66740 0        4104082   4104302 : Tue Aug 11 23:39:27 2026
00071  0.00000 0.95794 0.66758 0        4103826   4104558 : Tue Aug 11 23:39:28 2026
00072  0.00000 0.95835 0.66778 0        4105183   4103201 : Tue Aug 11 23:39:30 2026
00073  0.00000 0.95809 0.66744 0        4104703   4103681 : Tue Aug 11 23:39:31 2026
00074  0.00000 0.95815 0.66768 0        4106325   4102059 : Tue Aug 11 23:39:32 2026
00075  0.00000 0.95816 0.66791 0        4098955   4109429 : Tue Aug 11 23:39:33 2026
00076  0.00000 0.95819 0.66795 0        4106654   4101730 : Tue Aug 11 23:39:33 2026
00077  0.00000 0.95798 0.66793 0        4104254   4104130 : Tue Aug 11 23:39:34 2026
00078  0.00000 0.95810 0.66800 0        4103159   4105225 : Tue Aug 11 23:39:35 2026
