# p si sj distance Re(initial) Im(initial) max_signed_residual
0 0 0 1 2.0551792121170758 0 2.2204460492503131e-15
1 0 0 2 -1.379768997403197 0 1.4876988529977098e-14
2 0 0 3 1.9139219395366383 0 1.4432899320127035e-14
3 0 0 4 -1.4401847604225215 0 3.3750779948604759e-14
4 0 0 5 1.8804543166120009 0 1.021405182655144e-14
5 0 0 6 -1.46140216083902 0 2.9087843245179101e-14
6 0 0 7 1.8658343324128936 0 1.8207657603852567e-14
7 0 0 8 -1.472062490253228 0 4.8183679268731794e-14
8 0 0 9 1.8577373938370541 0 3.1308289294429414e-14
9 0 0 10 -1.4784042151176475 0 1.4210854715202004e-14
10 0 0 11 1.852650760733783 0 3.1086244689504383e-14
11 0 0 12 -1.482561749907265 0 5.9952043329758453e-15
12 0 0 13 1.8492008189726925 0 1.9984014443252818e-14
13 0 0 14 -1.485459803261888 0 2.886579864025407e-14
14 0 0 15 1.8467420728351154 0 3.9523939676655573e-14
15 0 0 16 -1.4875625971470969 0 1.6209256159527285e-14
16 0 0 17 1.8449322606384035 0 2.886579864025407e-15
17 0 0 18 -1.4891278221672324 0 2.2204460492503131e-16
18 0 0 19 1.8435738819339582 0 1.2878587085651816e-14
19 0 0 20 -1.4903091549175405 0 3.3306690738754696e-15
20 0 0 21 1.8425458188076496 0 7.7715611723760958e-15
21 0 0 22 -1.4912030794917428 0 1.5543122344752192e-14
22 0 0 23 1.8417705390636121 0 5.1070259132757201e-15
23 0 0 24 -1.4918723177709869 0 7.9936057773011271e-15
24 0 0 25 1.8411970692158266 0 1.5543122344752192e-15
25 0 0 26 -1.4923583855706632 0 5.3290705182007514e-15
26 0 0 27 1.840791621192446 0 3.3306690738754696e-15
27 0 0 28 -1.4926886581590513 0 7.5495165674510645e-15
28 0 0 29 1.8405322301853762 0 5.773159728050814e-15
29 0 0 30 -1.4928804522419441 0 3.5527136788005009e-15
30 0 0 31 1.8404056534544069 0 4.4408920985006262e-15
31 0 0 32 -1.4929433593474575 0 0
32 0 1 0 0 0 0
33 0 1 1 0.030949223029508647 0 0
34 0 1 2 0.030949223029508647 0 0
35 0 1 3 0.030949223029508647 0 0
36 0 1 4 0.030949223029508647 0 0
37 0 1 5 0.030949223029508647 0 0
38 0 1 6 0.030949223029508647 0 0
39 0 1 7 0.030949223029508647 0 0
40 0 1 8 0.030949223029508647 0 0
41 0 1 9 0.030949223029508647 0 0
42 0 1 10 0.030949223029508647 0 0
43 0 1 11 0.030949223029508647 0 0
44 0 1 12 0.030949223029508647 0 0
45 0 1 13 0.030949223029508647 0 0
46 0 1 14 0.030949223029508647 0 0
47 0 1 15 0.030949223029508647 0 0
48 0 1 16 0.030949223029508647 0 0
49 0 1 17 0.030949223029508647 0 0
50 0 1 18 0.030949223029508647 0 0
51 0 1 19 0.030949223029508647 0 0
52 0 1 20 0.030949223029508647 0 0
53 0 1 21 0.030949223029508647 0 0
54 0 1 22 0.030949223029508647 0 0
55 0 1 23 0.030949223029508647 0 0
56 0 1 24 0.030949223029508647 0 0
57 0 1 25 0.030949223029508647 0 0
58 0 1 26 0.030949223029508647 0 0
59 0 1 27 0.030949223029508647 0 0
60 0 1 28 0.030949223029508647 0 0
61 0 1 29 0.030949223029508647 0 0
62 0 1 30 0.030949223029508647 0 0
63 0 1 31 0.030949223029508647 0 0
64 0 1 32 0.030949223029508647 0 0
65 1 1 1 0.83929360909289497 0 0
66 1 1 2 0.83929360909289497 0 0
67 1 1 3 0.83929360909289497 0 0
68 1 1 4 0.83929360909289497 0 0
69 1 1 5 0.83929360909289497 0 0
70 1 1 6 0.83929360909289497 0 0
71 1 1 7 0.83929360909289497 0 0
72 1 1 8 0.83929360909289497 0 0
73 1 1 9 0.83929360909289497 0 0
74 1 1 10 0.83929360909289497 0 0
75 1 1 11 0.83929360909289497 0 0
76 1 1 12 0.83929360909289497 0 0
77 1 1 13 0.83929360909289497 0 0
78 1 1 14 0.83929360909289497 0 0
79 1 1 15 0.83929360909289497 0 0
80 1 1 16 0.83929360909289497 0 0
81 1 1 17 0.83929360909289497 0 0
82 1 1 18 0.83929360909289497 0 0
83 1 1 19 0.83929360909289497 0 0
84 1 1 20 0.83929360909289497 0 0
85 1 1 21 0.83929360909289497 0 0
86 1 1 22 0.83929360909289497 0 0
87 1 1 23 0.83929360909289497 0 0
88 1 1 24 0.83929360909289497 0 0
89 1 1 25 0.83929360909289497 0 0
90 1 1 26 0.83929360909289497 0 0
91 1 1 27 0.83929360909289497 0 0
92 1 1 28 0.83929360909289497 0 0
93 1 1 29 0.83929360909289497 0 0
94 1 1 30 0.83929360909289497 0 0
95 1 1 31 0.83929360909289497 0 0
96 1 1 32 0.83929360909289497 0 0
