00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Tue Aug 11 23:02:04 2026
00001  0.00000 0.59356 0.00000 0        16383128  16384872: Tue Aug 11 23:02:07 2026
00002  0.00000 0.59318 0.00000 0        8202333   8198051 : Tue Aug 11 23:02:08 2026
00003  0.00000 0.59284 0.00000 0        8197667   8202717 : Tue Aug 11 23:02:09 2026
00004  0.00000 0.59320 0.00000 0        8199841   8200543 : Tue Aug 11 23:02:10 2026
00005  0.00000 0.59274 0.00000 0        8197769   8202615 : Tue Aug 11 23:02:11 2026
00006  0.00000 0.59280 0.00000 0        8200765   8199619 : Tue Aug 11 23:02:12 2026
00007  0.00000 0.59312 0.00000 0        8197774   8202610 : Tue Aug 11 23:02:13 2026
00008  0.00000 0.59337 0.00000 0        8201220   8199164 : Tue Aug 11 23:02:14 2026
00009  0.00000 0.59349 0.00000 0        8201869   8198515 : Tue Aug 11 23:02:15 2026
00010  0.00000 0.59324 0.00000 0        8200727   8199657 : Tue Aug 11 23:02:16 2026
