00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Wed Aug 12 00:08:17 2026
00001  0.00000 0.98206 0.73969 0        16379167  16388833: Wed Aug 12 00:08:21 2026
00002  0.00000 0.98204 0.73971 0        8204299   8196085 : Wed Aug 12 00:08:22 2026
00003  0.00000 0.98192 0.73991 0        8201937   8198447 : Wed Aug 12 00:08:24 2026
00004  0.00000 0.98206 0.73972 0        8201563   8198821 : Wed Aug 12 00:08:25 2026
00005  0.00000 0.98201 0.73986 0        8200648   8199736 : Wed Aug 12 00:08:28 2026
00006  0.00000 0.98196 0.73967 0        8199095   8201289 : Wed Aug 12 00:08:30 2026
00007  0.00000 0.98203 0.73961 0        8198070   8202314 : Wed Aug 12 00:08:32 2026
00008  0.00000 0.98201 0.74000 0        8202400   8197984 : Wed Aug 12 00:08:33 2026
00009  0.00000 0.98199 0.73967 0        8201521   8198863 : Wed Aug 12 00:08:35 2026
00010  0.00000 0.98193 0.73952 0        8201867   8198517 : Wed Aug 12 00:08:36 2026
