-1.342392766515351354e+02  0.000000000000000000e+00   1.837736613710287202e+04  1.982126004645491310e-02 5.020534375000000438e+01 2.560068437500000073e+03
-1.589940665651918437e+02  0.000000000000000000e+00   2.548451304045051802e+04  8.125278599171769159e-03 4.325470312499999892e+01 1.920399906249999958e+03
-1.735882645151108932e+02  0.000000000000000000e+00   3.023468189240012362e+04  3.378246493209185412e-03 3.610489062500000301e+01 1.360020281249999925e+03
-1.807297149833923982e+02  0.000000000000000000e+00   3.271364141180466322e+04  1.543372594037325943e-03 3.053410937499999989e+01 9.915494062500000609e+02
-1.841732046536669714e+02  0.000000000000000000e+00   3.394480285522849590e+04  7.380222016381670627e-04 2.657296875000000114e+01 7.662542500000000700e+02
-1.858701174425601721e+02  0.000000000000000000e+00   3.456036102600396407e+04  3.664634024357282197e-04 2.373893750000000225e+01 6.241819375000000036e+02
-1.867044858162544188e+02  0.000000000000000000e+00   3.486496716082160856e+04  1.836603688438506580e-04 2.174439062500000119e+01 5.333739062500000045e+02
-1.871363907621557416e+02  0.000000000000000000e+00   3.502331111888520536e+04  9.372840389778568104e-05 2.028279687499999895e+01 4.716039687500000355e+02
-1.873548820201195610e+02  0.000000000000000000e+00   3.510356434794511733e+04  4.878748794042763804e-05 1.923812500000000014e+01 4.303098125000000209e+02
-1.874542984352664234e+02  0.000000000000000000e+00   3.514003100463913870e+04  2.609635465384146314e-05 1.855820312500000213e+01 4.051587187499999914e+02
-1.875194664571291412e+02  0.000000000000000000e+00   3.516405162641162315e+04  1.425698033780365911e-05 1.794804687499999929e+01 3.827964687500000309e+02
-1.875465248208465141e+02  0.000000000000000000e+00   3.517398454134910571e+04  8.118821194547167720e-06 1.756073437499999912e+01 3.688487187499999891e+02
-1.875601439931636776e+02  0.000000000000000000e+00   3.517898009608287975e+04  4.902990131824108203e-06 1.734407812499999935e+01 3.613694062499999973e+02
-1.875681881252863263e+02  0.000000000000000000e+00   3.518193614223517216e+04  3.153492797727203605e-06 1.709712500000000190e+01 3.525351875000000064e+02
-1.875718251425097094e+02  0.000000000000000000e+00   3.518326543250366376e+04  2.155723011865892665e-06 1.693124999999999858e+01 3.473344375000000355e+02
-1.875734330728106443e+02  0.000000000000000000e+00   3.518384751803625113e+04  1.555355796780124460e-06 1.685351562500000000e+01 3.450087187500000141e+02
-1.875749460671561906e+02  0.000000000000000000e+00   3.518440174240312626e+04  1.175246788947558275e-06 1.675582812500000074e+01 3.418331562500000018e+02
-1.875757322693120841e+02  0.000000000000000000e+00   3.518468844188486401e+04  9.409077877955718232e-07 1.677320312500000199e+01 3.419437812500000291e+02
-1.875768721053875652e+02  0.000000000000000000e+00   3.518510922946116625e+04  7.469250614733033325e-07 1.663503125000000082e+01 3.372318124999999895e+02
-1.875758257818016546e+02  0.000000000000000000e+00   3.518471193672873051e+04  6.116013433108962421e-07 1.670057812499999983e+01 3.396555937499999800e+02
-1.875760194795876430e+02  0.000000000000000000e+00   3.518478055444325582e+04  4.965398395447538045e-07 1.669431249999999878e+01 3.394524999999999864e+02
-1.875763387037110022e+02  0.000000000000000000e+00   3.518489730799812969e+04  4.111569416894016028e-07 1.665585937499999858e+01 3.384898437500000341e+02
-1.875762190712498807e+02  0.000000000000000000e+00   3.518484983111332986e+04  3.373625826632306562e-07 1.668835937500000099e+01 3.392074062500000196e+02
-1.875760240358648332e+02  0.000000000000000000e+00   3.518477448526809894e+04  2.754648159056519708e-07 1.667039062499999957e+01 3.386094062500000064e+02
-1.875763501081600566e+02  0.000000000000000000e+00   3.518489508733599359e+04  2.264448633362980665e-07 1.671656250000000199e+01 3.399663750000000277e+02
-1.875764923322904281e+02  0.000000000000000000e+00   3.518494705592052196e+04  1.870184976868204410e-07 1.663587499999999864e+01 3.373047500000000127e+02
-1.875765656258647596e+02  0.000000000000000000e+00   3.518497321407007257e+04  1.489862296971286479e-07 1.666953124999999858e+01 3.385004999999999882e+02
-1.875767278875400166e+02  0.000000000000000000e+00   3.518503302669827826e+04  1.188489020401979300e-07 1.665973437499999932e+01 3.382652812499999868e+02
-1.875766404312265081e+02  0.000000000000000000e+00   3.518499937673766544e+04  9.496297871211720954e-08 1.675068750000000151e+01 3.414706249999999841e+02
-1.875771515441272754e+02  0.000000000000000000e+00   3.518519036741436867e+04  7.349700383519691640e-08 1.672114062500000031e+01 3.405887812500000109e+02
-1.875768965243274238e+02  0.000000000000000000e+00   3.518509407062578248e+04  5.573177246934227871e-08 1.667726562500000043e+01 3.392357812500000023e+02
-1.875766749451396720e+02  0.000000000000000000e+00   3.518501035222247447e+04  3.890145051563560458e-08 1.667435937500000165e+01 3.390089062499999955e+02
-1.875768063612442802e+02  0.000000000000000000e+00   3.518505929743321030e+04  2.878350994902279528e-08 1.669157812499999949e+01 3.397570937500000241e+02
-1.875766917783668362e+02  0.000000000000000000e+00   3.518501607914984197e+04  2.218653037352618171e-08 1.661118749999999977e+01 3.370537499999999795e+02
-1.875768455895755551e+02  0.000000000000000000e+00   3.518507362633271259e+04  1.776313617341134003e-08 1.664182812499999997e+01 3.378647187500000086e+02
-1.875768246412894769e+02  0.000000000000000000e+00   3.518506564855055331e+04  1.438228093120697800e-08 1.661396875000000151e+01 3.367026250000000118e+02
-1.875768123419021833e+02  0.000000000000000000e+00   3.518506095687137713e+04  1.217909479595455229e-08 1.670746875000000031e+01 3.400911250000000337e+02
-1.875767591905300833e+02  0.000000000000000000e+00   3.518504096096085414e+04  1.058798674150720942e-08 1.660309374999999932e+01 3.365407500000000027e+02
-1.875767302774699772e+02  0.000000000000000000e+00   3.518503006012867263e+04  9.053337472140884652e-09 1.661860937500000190e+01 3.368203437500000064e+02
-1.875767561859468628e+02  0.000000000000000000e+00   3.518503975051786983e+04  8.221554467939878421e-09 1.667990625000000193e+01 3.385785000000000196e+02
-1.875767775158251993e+02  0.000000000000000000e+00   3.518504772587455955e+04  7.464908826694307907e-09 1.667334375000000080e+01 3.386326250000000186e+02
-1.875768092224281247e+02  0.000000000000000000e+00   3.518505959897086723e+04  6.846760308719997949e-09 1.664681249999999935e+01 3.383138749999999959e+02
-1.875767770779021646e+02  0.000000000000000000e+00   3.518504751846781437e+04  6.239434936751805988e-09 1.665251562499999949e+01 3.385270937500000059e+02
