# p si sj distance Re(initial) Im(initial) max_signed_residual
0 0 0 1 1.7283891908445681 0 1.5543122344752192e-15
1 0 0 2 -0.84782196629563655 0 1.1102230246251565e-14
2 0 0 3 1.62244623640924 0 1.0880185641326534e-14
3 0 0 4 -0.89313378856013004 0 2.5313084961453569e-14
4 0 0 5 1.597345519215762 0 7.7715611723760958e-15
5 0 0 6 -0.90904683887250393 0 2.1760371282653068e-14
6 0 0 7 1.5863805310664316 0 1.354472090042691e-14
7 0 0 8 -0.91704208593315983 0 3.6193270602780103e-14
8 0 0 9 1.5803078271345519 0 2.3536728122053319e-14
9 0 0 10 -0.92179837958147459 0 1.0658141036401503e-14
10 0 0 11 1.5764928523070987 0 2.3092638912203256e-14
11 0 0 12 -0.92491653067368773 0 4.4408920985006262e-15
12 0 0 13 1.5739053959862808 0 1.4876988529977098e-14
13 0 0 14 -0.92709007068965477 0 2.1760371282653068e-14
14 0 0 15 1.5720613363830978 0 2.9753977059954195e-14
15 0 0 16 -0.92866716610356148 0 1.2212453270876722e-14
16 0 0 17 1.570703977235564 0 2.2204460492503131e-15
17 0 0 18 -0.92984108486866313 0 2.2204460492503131e-16
18 0 0 19 1.56968519320723 0 9.7699626167013776e-15
19 0 0 20 -0.9307270844313944 0 2.6645352591003757e-15
20 0 0 21 1.5689141458624984 0 5.773159728050814e-15
21 0 0 22 -0.9313975278620461 0 1.1546319456101628e-14
22 0 0 23 1.5683326860544704 0 3.9968028886505635e-15
23 0 0 24 -0.9318994565714791 0 5.9952043329758453e-15
24 0 0 25 1.5679025836686313 0 1.1102230246251565e-15
25 0 0 26 -0.9322640074212365 0 3.7747582837255322e-15
26 0 0 27 1.5675984976510957 0 2.6645352591003757e-15
27 0 0 28 -0.93251171186252724 0 5.773159728050814e-15
28 0 0 29 1.5674039543957934 0 4.4408920985006262e-15
29 0 0 30 -0.93265555742469686 0 2.6645352591003757e-15
30 0 0 31 1.5673090218475665 0 3.3306690738754696e-15
31 0 0 32 -0.93270273775383195 0 0
32 0 1 0 0 0 0
33 0 1 1 0.14404148992450794 0 0
34 0 1 2 0.14404148992450794 0 0
35 0 1 3 0.14404148992450794 0 0
36 0 1 4 0.14404148992450794 0 0
37 0 1 5 0.14404148992450794 0 0
38 0 1 6 0.14404148992450794 0 0
39 0 1 7 0.14404148992450794 0 0
40 0 1 8 0.14404148992450794 0 0
41 0 1 9 0.14404148992450794 0 0
42 0 1 10 0.14404148992450794 0 0
43 0 1 11 0.14404148992450794 0 0
44 0 1 12 0.14404148992450794 0 0
45 0 1 13 0.14404148992450794 0 0
46 0 1 14 0.14404148992450794 0 0
47 0 1 15 0.14404148992450794 0 0
48 0 1 16 0.14404148992450794 0 0
49 0 1 17 0.14404148992450794 0 0
50 0 1 18 0.14404148992450794 0 0
51 0 1 19 0.14404148992450794 0 0
52 0 1 20 0.14404148992450794 0 0
53 0 1 21 0.14404148992450794 0 0
54 0 1 22 0.14404148992450794 0 0
55 0 1 23 0.14404148992450794 0 0
56 0 1 24 0.14404148992450794 0 0
57 0 1 25 0.14404148992450794 0 0
58 0 1 26 0.14404148992450794 0 0
59 0 1 27 0.14404148992450794 0 0
60 0 1 28 0.14404148992450794 0 0
61 0 1 29 0.14404148992450794 0 0
62 0 1 30 0.14404148992450794 0 0
63 0 1 31 0.14404148992450794 0 0
64 0 1 32 0.14404148992450794 0 0
65 1 1 1 0.69246542506290998 0 0
66 1 1 2 0.69246542506290998 0 0
67 1 1 3 0.69246542506290998 0 0
68 1 1 4 0.69246542506290998 0 0
69 1 1 5 0.69246542506290998 0 0
70 1 1 6 0.69246542506290998 0 0
71 1 1 7 0.69246542506290998 0 0
72 1 1 8 0.69246542506290998 0 0
73 1 1 9 0.69246542506290998 0 0
74 1 1 10 0.69246542506290998 0 0
75 1 1 11 0.69246542506290998 0 0
76 1 1 12 0.69246542506290998 0 0
77 1 1 13 0.69246542506290998 0 0
78 1 1 14 0.69246542506290998 0 0
79 1 1 15 0.69246542506290998 0 0
80 1 1 16 0.69246542506290998 0 0
81 1 1 17 0.69246542506290998 0 0
82 1 1 18 0.69246542506290998 0 0
83 1 1 19 0.69246542506290998 0 0
84 1 1 20 0.69246542506290998 0 0
85 1 1 21 0.69246542506290998 0 0
86 1 1 22 0.69246542506290998 0 0
87 1 1 23 0.69246542506290998 0 0
88 1 1 24 0.69246542506290998 0 0
89 1 1 25 0.69246542506290998 0 0
90 1 1 26 0.69246542506290998 0 0
91 1 1 27 0.69246542506290998 0 0
92 1 1 28 0.69246542506290998 0 0
93 1 1 29 0.69246542506290998 0 0
94 1 1 30 0.69246542506290998 0 0
95 1 1 31 0.69246542506290998 0 0
96 1 1 32 0.69246542506290998 0 0
