00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Tue Aug 11 23:09:39 2026
00001  0.00000 0.05392 0.02446 0        12290760  12285240: Tue Aug 11 23:09:40 2026
00002  0.00000 0.09763 0.06896 0        4104653   4103731 : Tue Aug 11 23:09:40 2026
00003  0.00000 0.16394 0.13207 0        4103780   4104604 : Tue Aug 11 23:09:40 2026
00004  0.00000 0.24164 0.19334 0        4103072   4105312 : Tue Aug 11 23:09:40 2026
00005  0.00000 0.32240 0.25498 0        4105817   4102567 : Tue Aug 11 23:09:41 2026
00006  0.00000 0.39953 0.31120 0        4103704   4104680 : Tue Aug 11 23:09:41 2026
00007  0.00000 0.47037 0.35897 0        4105235   4103149 : Tue Aug 11 23:09:42 2026
00008  0.00000 0.53310 0.39951 0        4105037   4103347 : Tue Aug 11 23:09:42 2026
00009  0.00000 0.58747 0.42600 0        4104222   4104162 : Tue Aug 11 23:09:43 2026
00010  0.00000 0.63427 0.44714 0        4103493   4104891 : Tue Aug 11 23:09:43 2026
00011  0.00000 0.67399 0.46443 0        4106542   4101842 : Tue Aug 11 23:09:44 2026
00012  0.00000 0.70644 0.47851 0        4101840   4106544 : Tue Aug 11 23:09:44 2026
00013  0.00000 0.73497 0.49111 0        4102588   4105796 : Tue Aug 11 23:09:45 2026
00014  0.00000 0.75777 0.50174 0        4104507   4103877 : Tue Aug 11 23:09:46 2026
00015  0.00000 0.77790 0.51045 0        4101526   4106858 : Tue Aug 11 23:09:46 2026
00016  0.00000 0.79428 0.51913 0        4104009   4104375 : Tue Aug 11 23:09:47 2026
00017  0.00000 0.80798 0.52616 0        4105153   4103231 : Tue Aug 11 23:09:48 2026
00018  0.00000 0.81975 0.53194 0        4104277   4104107 : Tue Aug 11 23:09:48 2026
00019  0.00000 0.83018 0.53670 0        4105711   4102673 : Tue Aug 11 23:09:49 2026
00020  0.00000 0.83823 0.54128 0        4101436   4106948 : Tue Aug 11 23:09:50 2026
00021  0.00000 0.84583 0.54462 0        4102493   4105891 : Tue Aug 11 23:09:51 2026
00022  0.00000 0.85227 0.54880 0        4103855   4104529 : Tue Aug 11 23:09:51 2026
00023  0.00000 0.85778 0.55091 0        4101957   4106427 : Tue Aug 11 23:09:52 2026
00024  0.00000 0.86258 0.55385 0        4103481   4104903 : Tue Aug 11 23:09:53 2026
00025  0.00000 0.86627 0.55601 0        4104933   4103451 : Tue Aug 11 23:09:53 2026
00026  0.00000 0.87007 0.55738 0        4101767   4106617 : Tue Aug 11 23:09:54 2026
00027  0.00000 0.87289 0.55947 0        4103325   4105059 : Tue Aug 11 23:09:55 2026
00028  0.00000 0.87552 0.56130 0        4103254   4105130 : Tue Aug 11 23:09:56 2026
00029  0.00000 0.87763 0.56218 0        4103929   4104455 : Tue Aug 11 23:09:56 2026
00030  0.00000 0.87901 0.56299 0        4105573   4102811 : Tue Aug 11 23:09:57 2026
00031  0.00000 0.88103 0.56416 0        4105706   4102678 : Tue Aug 11 23:09:58 2026
00032  0.00000 0.88271 0.56507 0        4102663   4105721 : Tue Aug 11 23:09:59 2026
00033  0.00000 0.88364 0.56499 0        4105877   4102507 : Tue Aug 11 23:10:00 2026
00034  0.00000 0.88525 0.56606 0        4104828   4103556 : Tue Aug 11 23:10:01 2026
00035  0.00000 0.88622 0.56685 0        4105821   4102563 : Tue Aug 11 23:10:02 2026
00036  0.00000 0.88681 0.56703 0        4103308   4105076 : Tue Aug 11 23:10:03 2026
00037  0.00000 0.88729 0.56693 0        4105160   4103224 : Tue Aug 11 23:10:04 2026
00038  0.00000 0.88815 0.56796 0        4103660   4104724 : Tue Aug 11 23:10:04 2026
00039  0.00000 0.88872 0.56849 0        4104078   4104306 : Tue Aug 11 23:10:05 2026
00040  0.00000 0.88922 0.56907 0        4103040   4105344 : Tue Aug 11 23:10:06 2026
00041  0.00000 0.88952 0.56943 0        4104172   4104212 : Tue Aug 11 23:10:06 2026
00042  0.00000 0.89000 0.56913 0        4103826   4104558 : Tue Aug 11 23:10:07 2026
00043  0.00000 0.89011 0.56900 0        4105279   4103105 : Tue Aug 11 23:10:08 2026
00044  0.00000 0.89040 0.56915 0        4103853   4104531 : Tue Aug 11 23:10:09 2026
00045  0.00000 0.89073 0.56974 0        4103164   4105220 : Tue Aug 11 23:10:09 2026
00046  0.00000 0.89123 0.56926 0        4105307   4103077 : Tue Aug 11 23:10:10 2026
00047  0.00000 0.89102 0.57000 0        4102297   4106087 : Tue Aug 11 23:10:11 2026
00048  0.00000 0.89119 0.56959 0        4102513   4105871 : Tue Aug 11 23:10:12 2026
00049  0.00000 0.89081 0.56962 0        4103656   4104728 : Tue Aug 11 23:10:12 2026
00050  0.00000 0.89136 0.56994 0        4103722   4104662 : Tue Aug 11 23:10:13 2026
00051  0.00000 0.89118 0.57026 0        4105413   4102971 : Tue Aug 11 23:10:14 2026
00052  0.00000 0.89141 0.57005 0        4103716   4104668 : Tue Aug 11 23:10:15 2026
00053  0.00000 0.89173 0.56992 0        4104780   4103604 : Tue Aug 11 23:10:15 2026
00054  0.00000 0.89163 0.57022 0        4101501   4106883 : Tue Aug 11 23:10:16 2026
00055  0.00000 0.89188 0.56968 0        4102926   4105458 : Tue Aug 11 23:10:17 2026
00056  0.00000 0.89185 0.56994 0        4104272   4104112 : Tue Aug 11 23:10:18 2026
00057  0.00000 0.89183 0.57083 0        4105250   4103134 : Tue Aug 11 23:10:18 2026
00058  0.00000 0.89173 0.57024 0        4102910   4105474 : Tue Aug 11 23:10:19 2026
00059  0.00000 0.89184 0.57077 0        4103371   4105013 : Tue Aug 11 23:10:20 2026
00060  0.00000 0.89203 0.57015 0        4103535   4104849 : Tue Aug 11 23:10:21 2026
00061  0.00000 0.89192 0.57036 0        4105272   4103112 : Tue Aug 11 23:10:21 2026
00062  0.00000 0.89178 0.57017 0        4104112   4104272 : Tue Aug 11 23:10:22 2026
00063  0.00000 0.89209 0.57049 0        4104933   4103451 : Tue Aug 11 23:10:23 2026
00064  0.00000 0.89171 0.56968 0        4105031   4103353 : Tue Aug 11 23:10:24 2026
00065  0.00000 0.89198 0.57064 0        4103654   4104730 : Tue Aug 11 23:10:24 2026
00066  0.00000 0.89220 0.57021 0        4103244   4105140 : Tue Aug 11 23:10:25 2026
00067  0.00000 0.89235 0.56998 0        4103829   4104555 : Tue Aug 11 23:10:26 2026
