# p si sj distance Re(initial) Im(initial) max_signed_residual
0 0 0 1 1.9630702494683436 0 1.9984014443252818e-15
1 0 0 2 -1.2076511747042162 0 1.354472090042691e-14
2 0 0 3 1.8326789209325554 0 1.3322676295501878e-14
3 0 0 4 -1.2634195713374388 0 3.1086244689504383e-14
4 0 0 5 1.8017857305405822 0 9.5479180117763462e-15
5 0 0 6 -1.2830048640295912 0 2.6867397195928788e-14
6 0 0 7 1.7882903605106371 0 1.6875389974302379e-14
7 0 0 8 -1.2928451681042448 0 4.4408920985006262e-14
8 0 0 9 1.7808162633637081 0 2.9087843245179101e-14
9 0 0 10 -1.2986990679790935 0 1.3100631690576847e-14
10 0 0 11 1.7761209097299195 0 2.886579864025407e-14
11 0 0 12 -1.3025367924002791 0 5.3290705182007514e-15
12 0 0 13 1.7729363481042977 0 1.8429702208777599e-14
13 0 0 14 -1.3052119185737769 0 2.6867397195928788e-14
14 0 0 15 1.7706667362849957 0 3.6415315207705135e-14
15 0 0 16 -1.3071529590832007 0 1.4876988529977098e-14
16 0 0 17 1.7689961404111079 0 2.6645352591003757e-15
17 0 0 18 -1.3085977821787105 0 0
18 0 0 19 1.7677422523762352 0 1.1990408665951691e-14
19 0 0 20 -1.3096882431789949 0 3.1086244689504383e-15
20 0 0 21 1.7667932710288734 0 7.1054273576010019e-15
21 0 0 22 -1.3105134043244124 0 1.4210854715202004e-14
22 0 0 23 1.7660776281882233 0 4.8849813083506888e-15
23 0 0 24 -1.3111311627360223 0 7.3274719625260332e-15
24 0 0 25 1.7655482714056523 0 1.5543122344752192e-15
25 0 0 26 -1.3115798407049544 0 4.6629367034256575e-15
26 0 0 27 1.7651740116917625 0 3.1086244689504383e-15
27 0 0 28 -1.3118847077096201 0 6.8833827526759706e-15
28 0 0 29 1.7649345738390825 0 5.5511151231257827e-15
29 0 0 30 -1.3120617484015211 0 3.3306690738754696e-15
30 0 0 31 1.7648177337797264 0 3.9968028886505635e-15
31 0 0 32 -1.3121198164989181 0 0
32 0 1 0 0 0 0
33 0 1 1 0.059364894857022281 0 0
34 0 1 2 0.059364894857022281 0 0
35 0 1 3 0.059364894857022281 0 0
36 0 1 4 0.059364894857022281 0 0
37 0 1 5 0.059364894857022281 0 0
38 0 1 6 0.059364894857022281 0 0
39 0 1 7 0.059364894857022281 0 0
40 0 1 8 0.059364894857022281 0 0
41 0 1 9 0.059364894857022281 0 0
42 0 1 10 0.059364894857022281 0 0
43 0 1 11 0.059364894857022281 0 0
44 0 1 12 0.059364894857022281 0 0
45 0 1 13 0.059364894857022281 0 0
46 0 1 14 0.059364894857022281 0 0
47 0 1 15 0.059364894857022281 0 0
48 0 1 16 0.059364894857022281 0 0
49 0 1 17 0.059364894857022281 0 0
50 0 1 18 0.059364894857022281 0 0
51 0 1 19 0.059364894857022281 0 0
52 0 1 20 0.059364894857022281 0 0
53 0 1 21 0.059364894857022281 0 0
54 0 1 22 0.059364894857022281 0 0
55 0 1 23 0.059364894857022281 0 0
56 0 1 24 0.059364894857022281 0 0
57 0 1 25 0.059364894857022281 0 0
58 0 1 26 0.059364894857022281 0 0
59 0 1 27 0.059364894857022281 0 0
60 0 1 28 0.059364894857022281 0 0
61 0 1 29 0.059364894857022281 0 0
62 0 1 30 0.059364894857022281 0 0
63 0 1 31 0.059364894857022281 0 0
64 0 1 32 0.059364894857022281 0 0
65 1 1 1 0.78567389318701419 0 0
66 1 1 2 0.78567389318701419 0 0
67 1 1 3 0.78567389318701419 0 0
68 1 1 4 0.78567389318701419 0 0
69 1 1 5 0.78567389318701419 0 0
70 1 1 6 0.78567389318701419 0 0
71 1 1 7 0.78567389318701419 0 0
72 1 1 8 0.78567389318701419 0 0
73 1 1 9 0.78567389318701419 0 0
74 1 1 10 0.78567389318701419 0 0
75 1 1 11 0.78567389318701419 0 0
76 1 1 12 0.78567389318701419 0 0
77 1 1 13 0.78567389318701419 0 0
78 1 1 14 0.78567389318701419 0 0
79 1 1 15 0.78567389318701419 0 0
80 1 1 16 0.78567389318701419 0 0
81 1 1 17 0.78567389318701419 0 0
82 1 1 18 0.78567389318701419 0 0
83 1 1 19 0.78567389318701419 0 0
84 1 1 20 0.78567389318701419 0 0
85 1 1 21 0.78567389318701419 0 0
86 1 1 22 0.78567389318701419 0 0
87 1 1 23 0.78567389318701419 0 0
88 1 1 24 0.78567389318701419 0 0
89 1 1 25 0.78567389318701419 0 0
90 1 1 26 0.78567389318701419 0 0
91 1 1 27 0.78567389318701419 0 0
92 1 1 28 0.78567389318701419 0 0
93 1 1 29 0.78567389318701419 0 0
94 1 1 30 0.78567389318701419 0 0
95 1 1 31 0.78567389318701419 0 0
96 1 1 32 0.78567389318701419 0 0
