# p si sj distance Re(initial) Im(initial) max_signed_residual
0 0 0 1 1.498487091600972 0 1.3322676295501878e-15
1 0 0 2 -0.56248183411119168 0 8.8817841970012523e-15
2 0 0 3 1.4137327280527097 0 8.659739592076221e-15
3 0 0 4 -0.59873129192278651 0 2.0206059048177849e-14
4 0 0 5 1.3936521542979272 0 6.2172489379008766e-15
5 0 0 6 -0.6114617321726854 0 1.7541523789077473e-14
6 0 0 7 1.3848801637784629 0 1.0880185641326534e-14
7 0 0 8 -0.61785792982121035 0 2.886579864025407e-14
8 0 0 9 1.3800220006329591 0 1.8873791418627661e-14
9 0 0 10 -0.62166296473986193 0 8.659739592076221e-15
10 0 0 11 1.3769700207709965 0 1.865174681370263e-14
11 0 0 12 -0.62415748561363249 0 3.5527136788005009e-15
12 0 0 13 1.3749000557143423 0 1.1990408665951691e-14
13 0 0 14 -0.6258963176264063 0 1.7319479184152442e-14
14 0 0 15 1.3734248080317959 0 2.375877272697835e-14
15 0 0 16 -0.62715799395753158 0 9.7699626167013776e-15
16 0 0 17 1.3723389207137688 0 1.7763568394002505e-15
17 0 0 18 -0.62809712896961289 0 2.2204460492503131e-16
18 0 0 19 1.3715238934911016 0 7.7715611723760958e-15
19 0 0 20 -0.62880592861979778 0 1.9984014443252818e-15
20 0 0 21 1.3709070556153164 0 4.6629367034256575e-15
21 0 0 22 -0.62934228336431919 0 9.3258734068513149e-15
22 0 0 23 1.370441887768894 0 3.1086244689504383e-15
23 0 0 24 -0.62974382633186576 0 4.6629367034256575e-15
24 0 0 25 1.3700978058602227 0 8.8817841970012523e-16
25 0 0 26 -0.63003546701167146 0 3.1086244689504383e-15
26 0 0 27 1.3698545370461943 0 1.9984014443252818e-15
27 0 0 28 -0.63023363056470427 0 4.4408920985006262e-15
28 0 0 29 1.3696989024419524 0 3.5527136788005009e-15
29 0 0 30 -0.63034870701444001 0 1.9984014443252818e-15
30 0 0 31 1.3696229564033708 0 2.6645352591003757e-15
31 0 0 32 -0.63038645127774795 0 0
32 0 1 0 0 0 0
33 0 1 1 0.22360679774997899 0 0
34 0 1 2 0.22360679774997899 0 0
35 0 1 3 0.22360679774997899 0 0
36 0 1 4 0.22360679774997899 0 0
37 0 1 5 0.22360679774997899 0 0
38 0 1 6 0.22360679774997899 0 0
39 0 1 7 0.22360679774997899 0 0
40 0 1 8 0.22360679774997899 0 0
41 0 1 9 0.22360679774997899 0 0
42 0 1 10 0.22360679774997899 0 0
43 0 1 11 0.22360679774997899 0 0
44 0 1 12 0.22360679774997899 0 0
45 0 1 13 0.22360679774997899 0 0
46 0 1 14 0.22360679774997899 0 0
47 0 1 15 0.22360679774997899 0 0
48 0 1 16 0.22360679774997899 0 0
49 0 1 17 0.22360679774997899 0 0
50 0 1 18 0.22360679774997899 0 0
51 0 1 19 0.22360679774997899 0 0
52 0 1 20 0.22360679774997899 0 0
53 0 1 21 0.22360679774997899 0 0
54 0 1 22 0.22360679774997899 0 0
55 0 1 23 0.22360679774997899 0 0
56 0 1 24 0.22360679774997899 0 0
57 0 1 25 0.22360679774997899 0 0
58 0 1 26 0.22360679774997899 0 0
59 0 1 27 0.22360679774997899 0 0
60 0 1 28 0.22360679774997899 0 0
61 0 1 29 0.22360679774997899 0 0
62 0 1 30 0.22360679774997899 0 0
63 0 1 31 0.22360679774997899 0 0
64 0 1 32 0.22360679774997899 0 0
65 1 1 1 0.63819660112501053 0 0
66 1 1 2 0.63819660112501053 0 0
67 1 1 3 0.63819660112501053 0 0
68 1 1 4 0.63819660112501053 0 0
69 1 1 5 0.63819660112501053 0 0
70 1 1 6 0.63819660112501053 0 0
71 1 1 7 0.63819660112501053 0 0
72 1 1 8 0.63819660112501053 0 0
73 1 1 9 0.63819660112501053 0 0
74 1 1 10 0.63819660112501053 0 0
75 1 1 11 0.63819660112501053 0 0
76 1 1 12 0.63819660112501053 0 0
77 1 1 13 0.63819660112501053 0 0
78 1 1 14 0.63819660112501053 0 0
79 1 1 15 0.63819660112501053 0 0
80 1 1 16 0.63819660112501053 0 0
81 1 1 17 0.63819660112501053 0 0
82 1 1 18 0.63819660112501053 0 0
83 1 1 19 0.63819660112501053 0 0
84 1 1 20 0.63819660112501053 0 0
85 1 1 21 0.63819660112501053 0 0
86 1 1 22 0.63819660112501053 0 0
87 1 1 23 0.63819660112501053 0 0
88 1 1 24 0.63819660112501053 0 0
89 1 1 25 0.63819660112501053 0 0
90 1 1 26 0.63819660112501053 0 0
91 1 1 27 0.63819660112501053 0 0
92 1 1 28 0.63819660112501053 0 0
93 1 1 29 0.63819660112501053 0 0
94 1 1 30 0.63819660112501053 0 0
95 1 1 31 0.63819660112501053 0 0
96 1 1 32 0.63819660112501053 0 0
