00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Tue Aug 11 23:23:13 2026
00001  0.00000 0.92537 0.61091 0        16383094  16384906: Tue Aug 11 23:23:16 2026
00002  0.00000 0.92558 0.61079 0        8199544   8200840 : Tue Aug 11 23:23:18 2026
00003  0.00000 0.92551 0.61046 0        8200085   8200299 : Tue Aug 11 23:23:19 2026
00004  0.00000 0.92549 0.61043 0        8197526   8202858 : Tue Aug 11 23:23:21 2026
00005  0.00000 0.92556 0.61074 0        8198948   8201436 : Tue Aug 11 23:23:22 2026
00006  0.00000 0.92562 0.61054 0        8200031   8200353 : Tue Aug 11 23:23:24 2026
00007  0.00000 0.92532 0.61064 0        8201766   8198618 : Tue Aug 11 23:23:25 2026
00008  0.00000 0.92551 0.61060 0        8203086   8197298 : Tue Aug 11 23:23:27 2026
00009  0.00000 0.92531 0.61058 0        8202790   8197594 : Tue Aug 11 23:23:28 2026
00010  0.00000 0.92550 0.61036 0        8200897   8199487 : Tue Aug 11 23:23:30 2026
