#Npara Msize optCut diagCut sDiagMax  sDiagMin    absRmax       imax
   97    96     0     1  5.42545e+00  0.00000e+00  1.25813e-01    33, 92
   97    96     0     1  5.13133e+00  0.00000e+00  1.17031e-01    33, 93
   97    96     0     1  4.53199e+00  0.00000e+00  1.05403e-01    33, 93
   97    96     0     1  3.95930e+00  0.00000e+00  9.25329e-02    37, 96
   97    96     0     1  3.41551e+00  0.00000e+00  8.29585e-02    39, 96
   97    96     0     1  2.96573e+00  0.00000e+00  7.00677e-02    39, 96
   97    96     0     1  2.57991e+00  0.00000e+00  5.19388e-02    41, 96
   97    96     0     1  2.36544e+00  0.00000e+00 -4.18952e-02     2, 96
   97    96     0     1  2.16094e+00  0.00000e+00 -3.59129e-02     2, 96
   97    96     0     1  1.98950e+00  0.00000e+00 -2.91371e-02     2, 96
   97    96     0     1  1.87973e+00  0.00000e+00 -2.35461e-02     2, 96
   97    96     0     1  1.78614e+00  0.00000e+00 -1.88535e-02     2, 96
   97    96     0     1  1.71635e+00  0.00000e+00 -1.50566e-02     2, 96
   97    96     0     1  1.64975e+00  0.00000e+00 -1.33808e-02    28, 96
   97    96     0     1  1.60579e+00  0.00000e+00 -1.23065e-02    28, 96
   97    96     0     1  1.55549e+00  0.00000e+00 -1.18927e-02    30, 96
   97    96     0     1  1.53009e+00  0.00000e+00 -1.10744e-02    30, 96
   97    96     0     1  1.49859e+00  0.00000e+00 -1.05422e-02    30, 96
   97    96     0     1  1.48371e+00  0.00000e+00 -1.00222e-02    30, 96
   97    96     0     1  1.45641e+00  0.00000e+00 -9.06320e-03    28, 96
   97    96     0     1  1.44189e+00  0.00000e+00  8.92402e-03    63, 96
   97    96     0     1  1.43058e+00  0.00000e+00  8.31885e-03    63, 96
   97    96     0     1  1.42518e+00  0.00000e+00  8.28752e-03    63, 96
   97    96     0     1  1.41145e+00  0.00000e+00  7.82133e-03    63, 96
   97    96     0     1  1.41286e+00  0.00000e+00  7.57417e-03    63, 96
   97    96     0     1  1.40062e+00  0.00000e+00  7.64011e-03    63, 96
