# p si sj distance Re(initial) Im(initial) max_signed_residual
0 0 0 1 1.6029816452517984 0 1.3322676295501878e-15
1 0 0 2 -0.68698382776171707 0 9.7699626167013776e-15
2 0 0 3 1.5088101301981736 0 9.5479180117763462e-15
3 0 0 4 -0.7272610031079334 0 2.2426505097428162e-14
4 0 0 5 1.4864983815817485 0 6.8833827526759706e-15
5 0 0 6 -0.74140593671893229 0 1.9539925233402755e-14
6 0 0 7 1.4767517254490103 0 1.2212453270876722e-14
7 0 0 8 -0.74851282299507105 0 3.1974423109204508e-14
8 0 0 9 1.4713537663984506 0 2.1094237467877974e-14
9 0 0 10 -0.75274063957135051 0 9.5479180117763462e-15
10 0 0 11 1.4679626776629366 0 2.0650148258027912e-14
11 0 0 12 -0.7555123294310957 0 3.9968028886505635e-15
12 0 0 13 1.4656627164888765 0 1.3322676295501878e-14
13 0 0 14 -0.75744436500084422 0 1.9317880628477724e-14
14 0 0 15 1.4640235523971581 0 2.6423307986078726e-14
15 0 0 16 -0.75884622759098352 0 1.0880185641326534e-14
16 0 0 17 1.4628170109326837 0 1.9984014443252818e-15
17 0 0 18 -0.75988971093774049 0 2.2204460492503131e-16
18 0 0 19 1.4619114251297201 0 8.659739592076221e-15
19 0 0 20 -0.76067726610461261 0 2.2204460492503131e-15
20 0 0 21 1.461226049712181 0 5.3290705182007514e-15
21 0 0 22 -0.76127321582074758 0 1.0436096431476471e-14
22 0 0 23 1.4607091965494894 0 3.5527136788005009e-15
23 0 0 24 -0.76171937467357687 0 5.3290705182007514e-15
24 0 0 25 1.4603268833176324 0 8.8817841970012523e-16
25 0 0 26 -0.76204341987336122 0 3.3306690738754696e-15
26 0 0 27 1.4600565846353786 0 2.2204460492503131e-15
27 0 0 28 -0.76226360159895301 0 5.1070259132757201e-15
28 0 0 29 1.4598836572973319 0 3.9968028886505635e-15
29 0 0 30 -0.76239146432088178 0 2.2204460492503131e-15
30 0 0 31 1.4597992728100193 0 2.886579864025407e-15
31 0 0 32 -0.76243340239122404 0 0
32 0 1 0 0 0 0
33 0 1 1 0.18844406755668622 0 0
34 0 1 2 0.18844406755668622 0 0
35 0 1 3 0.18844406755668622 0 0
36 0 1 4 0.18844406755668622 0 0
37 0 1 5 0.18844406755668622 0 0
38 0 1 6 0.18844406755668622 0 0
39 0 1 7 0.18844406755668622 0 0
40 0 1 8 0.18844406755668622 0 0
41 0 1 9 0.18844406755668622 0 0
42 0 1 10 0.18844406755668622 0 0
43 0 1 11 0.18844406755668622 0 0
44 0 1 12 0.18844406755668622 0 0
45 0 1 13 0.18844406755668622 0 0
46 0 1 14 0.18844406755668622 0 0
47 0 1 15 0.18844406755668622 0 0
48 0 1 16 0.18844406755668622 0 0
49 0 1 17 0.18844406755668622 0 0
50 0 1 18 0.18844406755668622 0 0
51 0 1 19 0.18844406755668622 0 0
52 0 1 20 0.18844406755668622 0 0
53 0 1 21 0.18844406755668622 0 0
54 0 1 22 0.18844406755668622 0 0
55 0 1 23 0.18844406755668622 0 0
56 0 1 24 0.18844406755668622 0 0
57 0 1 25 0.18844406755668622 0 0
58 0 1 26 0.18844406755668622 0 0
59 0 1 27 0.18844406755668622 0 0
60 0 1 28 0.18844406755668622 0 0
61 0 1 29 0.18844406755668622 0 0
62 0 1 30 0.18844406755668622 0 0
63 0 1 31 0.18844406755668622 0 0
64 0 1 32 0.18844406755668622 0 0
65 1 1 1 0.66000023555484888 0 0
66 1 1 2 0.66000023555484888 0 0
67 1 1 3 0.66000023555484888 0 0
68 1 1 4 0.66000023555484888 0 0
69 1 1 5 0.66000023555484888 0 0
70 1 1 6 0.66000023555484888 0 0
71 1 1 7 0.66000023555484888 0 0
72 1 1 8 0.66000023555484888 0 0
73 1 1 9 0.66000023555484888 0 0
74 1 1 10 0.66000023555484888 0 0
75 1 1 11 0.66000023555484888 0 0
76 1 1 12 0.66000023555484888 0 0
77 1 1 13 0.66000023555484888 0 0
78 1 1 14 0.66000023555484888 0 0
79 1 1 15 0.66000023555484888 0 0
80 1 1 16 0.66000023555484888 0 0
81 1 1 17 0.66000023555484888 0 0
82 1 1 18 0.66000023555484888 0 0
83 1 1 19 0.66000023555484888 0 0
84 1 1 20 0.66000023555484888 0 0
85 1 1 21 0.66000023555484888 0 0
86 1 1 22 0.66000023555484888 0 0
87 1 1 23 0.66000023555484888 0 0
88 1 1 24 0.66000023555484888 0 0
89 1 1 25 0.66000023555484888 0 0
90 1 1 26 0.66000023555484888 0 0
91 1 1 27 0.66000023555484888 0 0
92 1 1 28 0.66000023555484888 0 0
93 1 1 29 0.66000023555484888 0 0
94 1 1 30 0.66000023555484888 0 0
95 1 1 31 0.66000023555484888 0 0
96 1 1 32 0.66000023555484888 0 0
