# p si sj distance Re(initial) Im(initial) max_signed_residual
0 0 0 1 1.5483719497275521 0 1.3322676295501878e-15
1 0 0 2 -0.62106902470630421 0 9.3258734068513149e-15
2 0 0 3 1.4591568302030655 0 9.3258734068513149e-15
3 0 0 4 -0.65922634871850916 0 2.1316282072803006e-14
4 0 0 5 1.4380193841453996 0 6.6613381477509392e-15
5 0 0 6 -0.67262681213945552 0 1.8429702208777599e-14
6 0 0 7 1.4287857099143846 0 1.1546319456101628e-14
7 0 0 8 -0.67935965176948165 0 3.0420110874729289e-14
8 0 0 9 1.423671853971749 0 1.9984014443252818e-14
9 0 0 10 -0.68336495168385192 0 8.8817841970012523e-15
10 0 0 11 1.4204592435907357 0 1.9984014443252818e-14
11 0 0 12 -0.68599076312992613 0 3.7747582837255322e-15
12 0 0 13 1.418280333004784 0 1.2878587085651816e-14
13 0 0 14 -0.68782111261705625 0 1.8429702208777599e-14
14 0 0 15 1.4167274407073669 0 2.4868995751603507e-14
15 0 0 16 -0.68914919296560939 0 1.021405182655144e-14
16 0 0 17 1.415584401425233 0 1.7763568394002505e-15
17 0 0 18 -0.6901377561362213 0 0
18 0 0 19 1.4147264780329518 0 7.9936057773011271e-15
19 0 0 20 -0.69088386103115262 0 1.9984014443252818e-15
20 0 0 21 1.4140771750058097 0 4.8849813083506888e-15
21 0 0 22 -0.69144844497275415 0 9.7699626167013776e-15
22 0 0 23 1.4135875246411542 0 3.1086244689504383e-15
23 0 0 24 -0.69187112178069776 0 5.1070259132757201e-15
24 0 0 25 1.4132253331583424 0 8.8817841970012523e-16
25 0 0 26 -0.69217811196996715 0 3.3306690738754696e-15
26 0 0 27 1.412969260722523 0 2.2204460492503131e-15
27 0 0 28 -0.69238670518368572 0 4.8849813083506888e-15
28 0 0 29 1.412805434823321 0 3.5527136788005009e-15
29 0 0 30 -0.6925078382886708 0 2.2204460492503131e-15
30 0 0 31 1.4127254916248142 0 2.6645352591003757e-15
31 0 0 32 -0.69254756909215287 0 0
32 0 1 0 0 0 0
33 0 1 1 0.20703724960773262 0 0
34 0 1 2 0.20703724960773262 0 0
35 0 1 3 0.20703724960773262 0 0
36 0 1 4 0.20703724960773262 0 0
37 0 1 5 0.20703724960773262 0 0
38 0 1 6 0.20703724960773262 0 0
39 0 1 7 0.20703724960773262 0 0
40 0 1 8 0.20703724960773262 0 0
41 0 1 9 0.20703724960773262 0 0
42 0 1 10 0.20703724960773262 0 0
43 0 1 11 0.20703724960773262 0 0
44 0 1 12 0.20703724960773262 0 0
45 0 1 13 0.20703724960773262 0 0
46 0 1 14 0.20703724960773262 0 0
47 0 1 15 0.20703724960773262 0 0
48 0 1 16 0.20703724960773262 0 0
49 0 1 17 0.20703724960773262 0 0
50 0 1 18 0.20703724960773262 0 0
51 0 1 19 0.20703724960773262 0 0
52 0 1 20 0.20703724960773262 0 0
53 0 1 21 0.20703724960773262 0 0
54 0 1 22 0.20703724960773262 0 0
55 0 1 23 0.20703724960773262 0 0
56 0 1 24 0.20703724960773262 0 0
57 0 1 25 0.20703724960773262 0 0
58 0 1 26 0.20703724960773262 0 0
59 0 1 27 0.20703724960773262 0 0
60 0 1 28 0.20703724960773262 0 0
61 0 1 29 0.20703724960773262 0 0
62 0 1 30 0.20703724960773262 0 0
63 0 1 31 0.20703724960773262 0 0
64 0 1 32 0.20703724960773262 0 0
65 1 1 1 0.64813720051032397 0 0
66 1 1 2 0.64813720051032397 0 0
67 1 1 3 0.64813720051032397 0 0
68 1 1 4 0.64813720051032397 0 0
69 1 1 5 0.64813720051032397 0 0
70 1 1 6 0.64813720051032397 0 0
71 1 1 7 0.64813720051032397 0 0
72 1 1 8 0.64813720051032397 0 0
73 1 1 9 0.64813720051032397 0 0
74 1 1 10 0.64813720051032397 0 0
75 1 1 11 0.64813720051032397 0 0
76 1 1 12 0.64813720051032397 0 0
77 1 1 13 0.64813720051032397 0 0
78 1 1 14 0.64813720051032397 0 0
79 1 1 15 0.64813720051032397 0 0
80 1 1 16 0.64813720051032397 0 0
81 1 1 17 0.64813720051032397 0 0
82 1 1 18 0.64813720051032397 0 0
83 1 1 19 0.64813720051032397 0 0
84 1 1 20 0.64813720051032397 0 0
85 1 1 21 0.64813720051032397 0 0
86 1 1 22 0.64813720051032397 0 0
87 1 1 23 0.64813720051032397 0 0
88 1 1 24 0.64813720051032397 0 0
89 1 1 25 0.64813720051032397 0 0
90 1 1 26 0.64813720051032397 0 0
91 1 1 27 0.64813720051032397 0 0
92 1 1 28 0.64813720051032397 0 0
93 1 1 29 0.64813720051032397 0 0
94 1 1 30 0.64813720051032397 0 0
95 1 1 31 0.64813720051032397 0 0
96 1 1 32 0.64813720051032397 0 0
