# i si j sj a b distance p sign Re(class) Im(class) Re(target) Im(target) Re(sign_class) Im(sign_class) residual
0 0 1 0 0 1 1 0 1 1.5483719497275521 0 1.5483719497275521 0 1.5483719497275521 0 0
0 0 2 0 0 2 2 1 1 -0.62106902470630421 0 -0.62106902470630421 0 -0.62106902470630421 0 0
0 0 3 0 0 3 3 2 1 1.4591568302030655 0 1.4591568302030655 0 1.4591568302030655 0 0
0 0 4 0 0 4 4 3 1 -0.65922634871850916 0 -0.65922634871850916 0 -0.65922634871850916 0 0
0 0 5 0 0 5 5 4 1 1.4380193841453996 0 1.4380193841453996 0 1.4380193841453996 0 0
0 0 6 0 0 6 6 5 1 -0.67262681213945552 0 -0.67262681213945552 0 -0.67262681213945552 0 0
0 0 7 0 0 7 7 6 1 1.4287857099143846 0 1.4287857099143846 0 1.4287857099143846 0 0
0 0 8 0 0 8 8 7 1 -0.67935965176948165 0 -0.67935965176948165 0 -0.67935965176948165 0 0
0 0 9 0 0 9 9 8 1 1.423671853971749 0 1.423671853971749 0 1.423671853971749 0 0
0 0 10 0 0 10 10 9 1 -0.68336495168385192 0 -0.68336495168385192 0 -0.68336495168385192 0 0
0 0 11 0 0 11 11 10 1 1.4204592435907357 0 1.4204592435907357 0 1.4204592435907357 0 0
0 0 12 0 0 12 12 11 1 -0.68599076312992613 0 -0.68599076312992613 0 -0.68599076312992613 0 0
0 0 13 0 0 13 13 12 1 1.418280333004784 0 1.418280333004784 0 1.418280333004784 0 0
0 0 14 0 0 14 14 13 1 -0.68782111261705625 0 -0.68782111261705625 0 -0.68782111261705625 0 0
0 0 15 0 0 15 15 14 1 1.4167274407073669 0 1.4167274407073669 0 1.4167274407073669 0 0
0 0 16 0 0 16 16 15 1 -0.68914919296560939 0 -0.68914919296560939 0 -0.68914919296560939 0 0
0 0 17 0 0 17 17 16 1 1.415584401425233 0 1.415584401425233 0 1.415584401425233 0 0
0 0 18 0 0 18 18 17 1 -0.6901377561362213 0 -0.6901377561362213 0 -0.6901377561362213 0 0
0 0 19 0 0 19 19 18 1 1.4147264780329518 0 1.4147264780329518 0 1.4147264780329518 0 0
0 0 20 0 0 20 20 19 1 -0.69088386103115262 0 -0.69088386103115262 0 -0.69088386103115262 0 0
0 0 21 0 0 21 21 20 1 1.4140771750058097 0 1.4140771750058097 0 1.4140771750058097 0 0
0 0 22 0 0 22 22 21 1 -0.69144844497275415 0 -0.69144844497275415 0 -0.69144844497275415 0 0
0 0 23 0 0 23 23 22 1 1.4135875246411542 0 1.4135875246411542 0 1.4135875246411542 0 0
0 0 24 0 0 24 24 23 1 -0.69187112178069776 0 -0.69187112178069776 0 -0.69187112178069776 0 0
0 0 25 0 0 25 25 24 1 1.4132253331583424 0 1.4132253331583424 0 1.4132253331583424 0 0
0 0 26 0 0 26 26 25 1 -0.69217811196996715 0 -0.69217811196996715 0 -0.69217811196996715 0 0
0 0 27 0 0 27 27 26 1 1.412969260722523 0 1.412969260722523 0 1.412969260722523 0 0
0 0 28 0 0 28 28 27 1 -0.69238670518368572 0 -0.69238670518368572 0 -0.69238670518368572 0 0
0 0 29 0 0 29 29 28 1 1.412805434823321 0 1.412805434823321 0 1.412805434823321 0 0
0 0 30 0 0 30 30 29 1 -0.6925078382886708 0 -0.6925078382886708 0 -0.6925078382886708 0 0
0 0 31 0 0 31 31 30 1 1.4127254916248142 0 1.4127254916248142 0 1.4127254916248142 0 0
0 0 32 0 0 32 32 31 1 -0.69254756909215287 0 -0.69254756909215287 0 -0.69254756909215287 0 0
0 0 33 0 0 33 31 30 1 1.4127254916248142 0 1.4127254916248169 0 1.4127254916248142 0 2.6645352591003757e-15
0 0 34 0 0 34 30 29 1 -0.6925078382886708 0 -0.69250783828867302 0 -0.6925078382886708 0 2.2204460492503131e-15
0 0 35 0 0 35 29 28 1 1.412805434823321 0 1.4128054348233245 0 1.412805434823321 0 3.5527136788005009e-15
0 0 36 0 0 36 28 27 1 -0.69238670518368572 0 -0.69238670518369061 0 -0.69238670518368572 0 4.8849813083506888e-15
0 0 37 0 0 37 27 26 1 1.412969260722523 0 1.4129692607225253 0 1.412969260722523 0 2.2204460492503131e-15
0 0 38 0 0 38 26 25 1 -0.69217811196996715 0 -0.69217811196997048 0 -0.69217811196996715 0 3.3306690738754696e-15
0 0 39 0 0 39 25 24 1 1.4132253331583424 0 1.4132253331583415 0 1.4132253331583424 0 8.8817841970012523e-16
0 0 40 0 0 40 24 23 1 -0.69187112178069776 0 -0.69187112178070287 0 -0.69187112178069776 0 5.1070259132757201e-15
0 0 41 0 0 41 23 22 1 1.4135875246411542 0 1.4135875246411573 0 1.4135875246411542 0 3.1086244689504383e-15
0 0 42 0 0 42 22 21 1 -0.69144844497275415 0 -0.69144844497276392 0 -0.69144844497275415 0 9.7699626167013776e-15
0 0 43 0 0 43 21 20 1 1.4140771750058097 0 1.4140771750058145 0 1.4140771750058097 0 4.8849813083506888e-15
0 0 44 0 0 44 20 19 1 -0.69088386103115262 0 -0.69088386103115063 0 -0.69088386103115262 0 1.9984014443252818e-15
0 0 45 0 0 45 19 18 1 1.4147264780329518 0 1.4147264780329598 0 1.4147264780329518 0 7.9936057773011271e-15
0 0 46 0 0 46 18 17 1 -0.6901377561362213 0 -0.6901377561362213 0 -0.6901377561362213 0 0
0 0 47 0 0 47 17 16 1 1.415584401425233 0 1.4155844014252348 0 1.415584401425233 0 1.7763568394002505e-15
0 0 48 0 0 48 16 15 1 -0.68914919296560939 0 -0.68914919296561961 0 -0.68914919296560939 0 1.021405182655144e-14
0 0 49 0 0 49 15 14 1 1.4167274407073669 0 1.4167274407073918 0 1.4167274407073669 0 2.4868995751603507e-14
0 0 50 0 0 50 14 13 1 -0.68782111261705625 0 -0.68782111261707468 0 -0.68782111261705625 0 1.8429702208777599e-14
0 0 51 0 0 51 13 12 1 1.418280333004784 0 1.4182803330047968 0 1.418280333004784 0 1.2878587085651816e-14
0 0 52 0 0 52 12 11 1 -0.68599076312992613 0 -0.6859907631299299 0 -0.68599076312992613 0 3.7747582837255322e-15
0 0 53 0 0 53 11 10 1 1.4204592435907357 0 1.4204592435907557 0 1.4204592435907357 0 1.9984014443252818e-14
0 0 54 0 0 54 10 9 1 -0.68336495168385192 0 -0.6833649516838608 0 -0.68336495168385192 0 8.8817841970012523e-15
