00000  acc_hop acc_ex  acc_lsf n_hop    n_ex      n_lsf   : Wed Aug 12 00:15:56 2026
00001  0.00000 0.98491 0.75288 0        16387292  16380708: Wed Aug 12 00:16:01 2026
00002  0.00000 0.98487 0.75274 0        8202568   8197816 : Wed Aug 12 00:16:02 2026
00003  0.00000 0.98494 0.75269 0        8200536   8199848 : Wed Aug 12 00:16:04 2026
00004  0.00000 0.98492 0.75297 0        8200147   8200237 : Wed Aug 12 00:16:05 2026
00005  0.00000 0.98485 0.75307 0        8201023   8199361 : Wed Aug 12 00:16:07 2026
00006  0.00000 0.98485 0.75286 0        8199670   8200714 : Wed Aug 12 00:16:09 2026
00007  0.00000 0.98489 0.75273 0        8197132   8203252 : Wed Aug 12 00:16:10 2026
00008  0.00000 0.98484 0.75279 0        8199770   8200614 : Wed Aug 12 00:16:12 2026
00009  0.00000 0.98493 0.75270 0        8205013   8195371 : Wed Aug 12 00:16:13 2026
00010  0.00000 0.98481 0.75312 0        8199718   8200666 : Wed Aug 12 00:16:15 2026
