# periodic 1D TFIM, L=64, J=1
# measurements=1000, burn_in=300, thin=1, block_size=50
h,h_over_J,exact_energy_per_site,vmc_energy_per_site,vmc_energy_error,exact_magnetization_z,vmc_magnetization_z,vmc_magnetization_error,acceptance,max_abs_local_energy_error,elapsed_seconds
0,0,-1,-1,1.1261774064266928e-16,3.4694469519536142e-17,0.0040000000000000001,0.0032184705422885177,1,1.5210055437364645e-14,27.287225008010864
0.1672962712855908,0.1672962712855908,-1.0070093367253592,-1.0070093367253594,1.1390647892519134e-16,0.083943896087552927,0.088437500000000002,0.0046132273709753114,0.9130649038461538,1.2878587085651816e-14,21.123272895812988
0.33459254257118159,0.33459254257118159,-1.0281896097156507,-1.0281896097156504,1.127616611367195e-16,0.16974186125594701,0.1688125,0.0057778750817689293,0.82223557692307692,1.0880185641326534e-14,17.190475940704346
0.50188881385677242,0.50188881385677242,-1.0640339584680811,-1.0640339584680809,9.0410464786522851e-17,0.25970831114625825,0.26412500000000005,0.0045125009112114544,0.71882211538461538,1.2878587085651816e-14,13.433606863021851
0.66918508514236319,0.66918508514236319,-1.1155158332516868,-1.1155158332516868,8.6748589878212645e-17,0.3574923444810964,0.35843749999999996,0.0044729403890152834,0.60881009615384618,7.9936057773011271e-15,10.078447103500366
0.83648135642795396,0.83648135642795396,-1.1844947633418892,-1.184494763341889,5.0940525990875e-17,0.4709128633036902,0.47293750000000001,0.0048389141819757796,0.48320913461538462,5.9952043329758453e-15,7.0900027751922607
1.0037776277135448,1.0037776277135448,-1.2757831206455803,-1.2757831206455803,6.0273643191015234e-17,0.6422767747810465,0.63387500000000008,0.0074344172071875488,0.29015625,6.2172489379008766e-15,3.8985779285430908
1.1710738989991356,1.1710738989991356,-1.3968826053455221,-1.3968826053455221,5.462762823389886e-17,0.77923371688011056,0.78087499999999999,0.0055444525381112605,0.14306490384615383,4.4408920985006262e-15,2.1928210258483887
1.3383701702847264,1.3383701702847264,-1.5328709905076789,-1.5328709905076789,3.0136821595507617e-17,0.84078004959317609,0.83756249999999999,0.0047282004964056407,0.097031249999999999,3.3306690738754696e-15,1.7904419898986816
1.5056664415703171,1.5056664415703171,-1.6769004780290766,-1.6769004780290757,7.8916723523881989e-17,0.87835916382760537,0.88656249999999992,0.0044554400145983587,0.065925480769230771,7.7715611723760958e-15,1.4862930774688721
1.6729627128559079,1.6729627128559079,-1.8260840912087044,-1.8260840912087033,6.8343887355114806e-17,0.90357486699192047,0.9026249999999999,0.0031634476944924321,0.05229567307692308,3.3306690738754696e-15,1.3737647533416748
1.8402589841414987,1.8402589841414987,-1.9788267441387961,-1.9788267441387979,1.3136335981433191e-16,0.9214883265615843,0.92218750000000005,0.003206022037140664,0.042668269230769232,3.3306690738754696e-15,1.2116940021514893
2.0075552554270897,2.0075552554270897,-2.1341490314122522,-2.1341490314122487,1.4938694661432873e-16,0.93473722588775243,0.93425000000000014,0.0029890149759269824,0.034615384615384617,5.773159728050814e-15,1.0839478969573975
2.1748515267126804,2.1748515267126804,-2.2914085011321186,-2.2914085011321199,1.161622717528392e-16,0.94484122032772588,0.94581249999999994,0.0023107212219974685,0.028485576923076922,4.8849813083506888e-15,0.99956583976745605
2.3421477979982712,2.3421477979982712,-2.4501633171925112,-2.4501633171925206,1.9990505921235708e-16,0.95273723870028482,0.95337499999999997,0.0025826788927696578,0.024218750000000001,1.3766765505351941e-14,0.90638113021850586
2.509444069283862,2.509444069283862,-2.6100983764721559,-2.6100983764721666,1.4408156546142915e-16,0.95903270306388055,0.96168750000000025,0.0021426799347153019,0.021129807692307691,1.3322676295501878e-14,0.83574080467224121
2.6767403405694528,2.6767403405694528,-2.7709823192611482,-2.7709823192611394,1.6740765105828269e-16,0.96413722404958713,0.96774999999999989,0.00176217568871402,0.017536057692307691,1.1102230246251565e-14,0.75122714042663574
2.8440366118550435,2.8440366118550435,-2.9326411399352645,-2.9326411399352681,1.7938010239158342e-16,0.96833599975474804,0.96518750000000009,0.0021059029661006654,0.016947115384615383,4.4408920985006262e-15,0.7719731330871582
3.0113328831406343,3.0113328831406343,-3.0949412870360216,-3.09494128703603,8.5239803654370501e-17,0.97183297510023081,0.97181249999999986,0.0018192930777177093,0.014615384615384615,9.7699626167013776e-15,0.7133944034576416
3.1786291544262251,3.1786291544262251,-3.2577784586688838,-3.2577784586688869,5.0940525990875e-17,0.9747773398207249,0.97318749999999987,0.0019225869188482252,0.013197115384615385,3.5527136788005009e-15,0.70363283157348633
3.3459254257118158,3.3459254257118158,-3.4210699546378351,-3.4210699546378338,3.2217617467634147e-17,0.9772803902848215,0.97793750000000013,0.0013850559317986171,0.011850961538461538,3.5527136788005009e-15,0.61478304862976074
3.5132216969974066,3.5132216969974066,-3.5847493248646956,-3.5847493248646907,9.1125183140153087e-17,0.97942659001082966,0.97787500000000005,0.0012763666566097944,0.010961538461538462,5.773159728050814e-15,0.62710690498352051
3.6805179682829974,3.6805179682829974,-3.748762542991555,-3.7487625429915554,0,0.98128101699899739,0.98087499999999994,0.0012955515996549219,0.0094230769230769229,1.3322676295501878e-15,0.58757567405700684
3.8478142395685881,3.8478142395685881,-3.9130652182142178,-3.9130652182142116,3.013682159550762e-16,0.98289449398086792,0.97981250000000009,0.002101994275494231,0.0095913461538461534,8.8817841970012523e-15,0.59384703636169434
4.0151105108541794,4.0151105108541794,-4.0776205292684189,-4.0776205292684109,2.037621039635e-16,0.98430719440352177,0.98368750000000005,0.0014803399102908763,0.0088461538461538456,9.7699626167013776e-15,0.5497899055480957
4.1824067821397701,4.1824067821397701,-4.2423976704031947,-4.2423976704031974,1.878593776203024e-16,0.9855512228995309,0.98506250000000006,0.0011735678562221697,0.0075240384615384613,3.5527136788005009e-15,0.51764678955078125
4.3497030534253609,4.3497030534253609,-4.407370666586818,-4.4073706665868304,1.9330570480580487e-16,0.98665249185216042,0.98625000000000007,0.0015680821339927862,0.0068028846153846152,1.3322676295501878e-14,0.48893594741821289
4.5169993247109517,4.5169993247109517,-4.5725174591147857,-4.5725174591147777,0,0.98763210605235074,0.99099999999999999,0.0010442511797052433,0.005673076923076923,1.1546319456101628e-14,0.43534374237060547
4.6842955959965424,4.6842955959965424,-4.737819192015623,-4.7378191920156327,2.1851051293559544e-16,0.98850739797558773,0.98912500000000014,0.0013904632889417637,0.0061298076923076922,9.7699626167013776e-15,0.46751499176025391
4.8515918672821332,4.8515918672821332,-4.9032596494669196,-4.9032596494669134,2.037621039635e-16,0.98929271122596973,0.98993749999999991,0.0009660137503107681,0.0052163461538461539,7.1054273576010019e-15,0.4457249641418457
5.018888138567724,5.018888138567724,-5.068824808101839,-5.0688248081018559,2.037621039635e-16,0.98999999999999999,0.9911249999999997,0.0010295789890711856,0.0042788461538461539,1.865174681370263e-14,0.42214608192443848
